idx,w_step_out,w_pre_var,w_var,w_cont,w_inspect,bottles,blocked,score,is_default
0,0.1,0.1,0.2,0.3,0.3,227.8,0.38488956732596424,227.60755521633703,True
1,0.2041117276905724,0.1374163193925564,0.15776153339024326,0.09959139455129186,0.401119024975336,229.4,0.3699812526693712,229.2150093736653,False
2,0.4048466196511675,0.344699228040411,0.13871321326832,0.08671384816134006,0.025027090878761513,237.8,3.4215651942754697,236.0892174028623,False
3,0.5068450647241438,0.01185090285390505,0.22989794719480006,0.16377724151740083,0.08762884370975016,233.0,2.4539234421833784,231.7730382789083,False
4,0.05436417753285018,0.12451112648233147,0.013184778944665987,0.4347948764309519,0.3731450406092005,224.8,0.35140276458604314,224.62429861770698,False
5,0.26636314495991836,0.24407741107622605,0.4181188657523072,0.009190529181451709,0.062250049030096566,235.0,0.5975695165183531,234.7012152417408,False
6,0.0841142157225723,0.4197459645807064,0.06814913863510565,0.10835762660664544,0.3196330544549703,233.6,0.8350801982641125,233.18245990086794,False
7,0.11330182780021006,0.19750300109701457,0.49612890041137514,0.1445258275872034,0.04854044310419683,229.8,0.1,229.75,False
8,0.3931722503804159,0.2879885449142777,0.2827915859330499,0.029015793843213507,0.007031824929042885,232.8,3.6845675726924334,230.95771621365378,False
9,0.08050116524136157,0.032384643358646006,0.3954569747147552,0.050046927456267716,0.44161028922896944,229.0,0.1,228.95,False
10,0.05581365804974224,0.09649951483640531,0.19554401402362734,0.5400239741620557,0.11211883892816955,226.0,0.565736774303073,225.71713161284848,False
11,0.36198000225117,0.17706571294858237,0.11935627639871589,0.27061179146122877,0.070986216940303,233.4,1.4697511416027769,232.6651244291986,False
12,0.2005785739988355,0.022991808925727067,0.33335462540381516,0.3725884323193767,0.07048655935224553,230.8,0.3,230.65,False
13,0.11661177076604426,0.05187759427066325,0.1332947813318999,0.29498984800602457,0.4032260056253681,231.0,0.3506860641001917,230.8246569679499,False
14,0.7265785966007553,0.06404228657061135,0.0598088398573228,0.05524407372972041,0.09432620324159018,228.8,5.884551037486835,225.85772448125658,False
15,0.3625987482055869,0.023257832034401047,0.08051906765547966,0.03682709720409112,0.49679725490044135,234.8,1.6214530818186101,233.9892734590907,False
16,0.3065710372392962,0.20902084290488115,0.1023692449454504,0.2927764939707584,0.08926238093961396,233.4,1.1341197849660745,232.83294010751698,False
17,0.005234824344287278,0.378646685351427,0.16409859229986432,0.13429624110537236,0.31772365689904913,224.4,0.23984399723931588,224.28007800138036,False
18,0.16779827860374338,0.4015442004393715,0.30183274382995895,0.08181593338684902,0.04700884374007725,237.8,0.6492929936805505,237.47535350315974,False
19,0.18864334250054934,0.2376334305901411,0.3632128900005906,0.05667412093379866,0.1538362159749204,231.4,0.28315914511237644,231.2584204274438,False
20,0.09893685341093092,0.05195148586961315,0.5360566994343003,0.12330911391899882,0.18974584736615668,229.4,0.0,229.4,False
21,0.26579932427054453,0.17898295315141172,0.2447962369512444,0.10989775616873387,0.2005237294580654,235.0,0.4141928374724582,234.79290358126377,False
22,0.025688229227945242,0.2848356649645594,0.33722459284716266,0.2378540083839201,0.11439750457641258,230.4,0.09827028537571934,230.35086485731213,False
23,0.028798418617741496,0.2816228947837418,0.3698302529937919,0.01054941025179637,0.30919902335292837,231.2,0.1665131972600789,231.11674340136994,False
24,0.2223782717116244,0.06761028071967806,0.195883580755887,0.33392857624367195,0.18019929056913866,235.4,0.4145074375777325,235.19274628121113,False
25,0.09010615432657923,0.1292467462154842,0.1431303248295654,0.026913355788172205,0.6106034188401989,229.2,1.1034752365682146,228.64826238171588,False
26,0.19776263360616336,0.12654229124032984,0.44894873580335154,0.2100228500081269,0.016723489342028244,236.0,0.3,235.85,False
27,0.7236065091494507,0.17305257287974368,0.021145885721302122,0.02640081937827777,0.05579421287122576,236.6,3.9309879852398324,234.63450600738008,False
28,0.11350133317539118,0.1005295342269522,0.05543889884373662,0.12167125617299797,0.6088589775809219,228.6,0.5872034197082845,228.30639829014586,False
29,0.2773725939091322,0.47868690735852537,0.19809692045047275,0.0012381663888182696,0.04460541189305146,236.4,1.0784436483087703,235.8607781758456,False
30,0.235736726333438,0.20781495641925088,0.07876652257561548,0.1332473058772409,0.34443448879445476,229.6,1.494178915849105,228.85291054207545,False
31,0.16272433926110053,0.1836141669421216,0.3089954427163978,0.09411384520574165,0.25055220587463845,229.2,0.5761388877813913,228.9119305561093,False
32,0.08792702971570585,0.0612715611153371,0.6071340011237063,0.20664933887449696,0.037018069170753815,190.4,0.0,190.4,False
33,0.2444016256218631,0.5688735506839877,0.11164639997416566,0.005241032078244867,0.0698373916417388,236.2,1.5585819370709384,235.42070903146453,False
34,0.06404622130441597,0.0065508823256513,0.010672998637163105,0.5243095163216972,0.39442038141107244,226.8,0.521241621709126,226.53937918914545,False
35,0.27598157924163125,0.07650915789678302,0.07016125722213132,0.1358936499332098,0.4414543557062446,225.8,0.7006837618104854,225.44965811909478,False
36,0.7226243939821475,0.10328933603155273,0.14891256703379446,0.012675937101250636,0.012497765851254707,231.0,4.1876923713990895,228.90615381430047,False
37,0.5612091306311645,0.13832282993198003,0.04923947922950486,0.2326021541005785,0.018626406106772245,233.2,2.260607141980229,232.06969642900987,False
38,0.10815940262264771,0.18546645049941266,0.18745865413305013,0.46386129728532344,0.055054195459566066,228.8,0.08488956732596423,228.75755521633704,False
39,0.040530195032805104,0.09673595238458191,0.21867439076828024,0.380194626030837,0.2638648357834957,225.0,0.28488956732596427,224.857555216337,False
40,0.009179793073834515,0.20182053932774027,0.5667564905044703,0.14622953359095292,0.07601364350300197,230.2,0.0,230.2,False
41,0.05734269778181807,0.2046700179214052,0.036630736775398944,0.6252353981809774,0.07612114934040057,227.0,0.6385842605397942,226.6807078697301,False
42,0.026297982826426102,0.25941075976784883,0.0457538568566068,0.07720074739210837,0.5913366531570098,228.6,0.4829360356633436,228.35853198216833,False
43,0.23625848938454394,0.5200878243029036,0.03351646618284424,0.18751549374433185,0.022621726385376437,236.6,1.2033552632622762,235.99832236836886,False
44,0.010259208112906523,0.03980041829927297,0.00933344261483036,0.30540151841156454,0.6352054125614256,225.6,0.5263295098040034,225.336835245098,False
45,0.14208252307501806,0.07104775617905311,0.412988149405812,0.19508300441552706,0.17879856692458995,227.8,0.2,227.70000000000002,False
46,0.1309662444422652,0.04021150131330824,0.4574830155421009,0.02191756340029938,0.3494216753020262,229.2,0.07333079997923699,229.16333460001036,False
47,0.02227741998649245,0.5029776041120028,0.25399370703121704,0.10977715503091517,0.11097411383937261,236.0,0.5458307197600549,235.72708464011998,False
48,0.09606258056972761,0.12755408034422466,0.1941440811439241,0.17148541135064843,0.41075384659147524,230.8,0.0,230.8,False
49,0.09496602962846921,0.012691433225624363,0.5968864424461332,0.09837514977721039,0.197080944922563,228.0,0.0,228.0,False
50,0.17241815956805545,0.33541003938099423,0.05604201195899193,0.3587667307138689,0.07736305837808952,237.6,0.45768446591965495,237.37115776704016,False
51,0.013529536025702033,0.6813424346091824,0.019405103362449935,0.12603383174653743,0.15968909425612834,233.0,0.15472842444904705,232.92263578777548,False
52,0.5488818004251302,0.00235553137037778,0.1883149819381139,0.20172423244506316,0.05872345382131514,230.8,3.0073425368284705,229.2963287315858,False
53,0.010939838993571442,0.2645015928315861,0.030459231220773136,0.6166983094153233,0.07740102753874578,225.8,0.880622875220505,225.35968856238975,False
54,0.06479561813407825,0.30560231184299386,0.13154614555413494,0.04972654292239053,0.4483293815464024,231.6,0.16983885712308283,231.51508057143846,False
55,0.4186581692908433,0.376921260170599,0.0009429901702864242,0.08343383506734611,0.12004374530092496,235.6,2.2347118702490887,234.48264406487544,False
56,0.45040629071469135,0.19159148869311177,0.28841609440220956,0.01808636098477564,0.051499765205211795,244.0,0.879887115514989,243.5600564422425,False
57,0.505546536879737,0.024440456472914616,0.12140787690362524,0.04313073837728093,0.3054743913664421,236.4,2.959048998160064,234.92047550091996,False
58,0.7734922768794839,0.0054864383476765114,0.014355799776546902,0.11906090020698284,0.08760458478930996,242.2,1.4976072867837793,241.4511963566081,False
59,0.08273286570315941,0.15713338195903132,0.04381986804131183,0.6079757259847945,0.10833815831170299,231.4,0.3,231.25,False
60,0.0969671559283573,0.5708326707430191,0.18843588889991086,0.07211591368577765,0.07164837074293487,235.8,1.0195589727384526,235.29022051363077,False
61,0.7069257281843787,0.09523831006225113,0.11357604093568788,0.06992978121267644,0.014330139605005886,240.4,4.336492675688549,238.23175366215574,False
62,0.13440112643883537,0.11439036146272487,0.39640032961754534,0.16201428182028504,0.19279390066060928,228.6,0.17826809138452487,228.51086595430772,False
63,0.0016207778199663924,0.09588348746914777,0.48909654684764603,0.16230233336039887,0.25109685450284097,218.8,0.3,218.65,False
64,0.026508876009813026,0.3641329610601073,0.4237751366067184,0.12359689675493628,0.06198612956842506,234.2,0.3396179917750113,234.03019100411248,False
65,0.49607573040049735,0.01823491803244631,0.20524923499125697,0.18770413969942085,0.09273597687637851,230.4,2.2142872114007526,229.29285639429963,False
66,0.13872276760080068,0.43579906113686273,0.051387021422215046,0.3628205651353771,0.011270584704744664,231.8,1.0291411955431986,231.2854294022284,False
67,0.04403228509968696,0.12521891374949906,0.17578378418113486,0.47800847538181235,0.17695654158786672,231.4,0.2740236130182267,231.26298819349088,False
68,0.11887489903358518,0.3857708028601368,0.1157565257616757,0.26701059621126544,0.11258717613333685,230.0,0.9258107478239556,229.53709462608802,False
69,0.03233600886631688,0.008122102705043967,0.6610668338422512,0.12114702034565346,0.17732803424073454,191.2,0.0,191.2,False
70,0.06268443638633961,0.0703409125624479,0.4060365784704955,0.28302141061120895,0.17791666196950792,223.2,0.28488956732596427,223.057555216337,False
71,0.15123928521809749,0.3001926866869946,0.1870604445654475,0.29585466580954706,0.06565291771991327,229.8,0.707752720816108,229.44612363959195,False
72,0.05861390078677153,0.6594383523987069,0.1755721188384517,0.10477923213930675,0.0015963958367630063,235.0,0.2681091424988022,234.8659454287506,False
73,0.04512895854928077,0.30601093292514087,0.21051117779030498,0.37840278021755175,0.05994615051772169,229.6,0.4,229.4,False
74,0.06996775470150315,0.0607461768948284,0.24028262457037317,0.11590922789234878,0.5130942159409465,230.6,0.06983885712308284,230.56508057143844,False
75,0.29051050185613614,0.28521635341652424,0.13315393544715695,0.23811444801154805,0.053004761268634716,233.0,0.8428616087306935,232.57856919563466,False
76,0.15262411724531572,0.00849861280617527,0.326996506248351,0.4362598332621777,0.0756209304379801,232.2,0.09359074797687555,232.15320462601156,False
77,0.016383590461515683,0.17047088719245776,0.019530480661155175,0.15537187556153872,0.6382431661233327,227.0,0.3524799478447186,226.82376002607765,False
78,0.23908511515881023,0.038636889040395375,0.14445142883041165,0.363083764442735,0.2147428025276477,230.8,0.4366767021316931,230.58166164893416,False
79,0.2231297170366353,0.1768380413211172,0.05979287709221735,0.2243578203266155,0.3158815442234145,230.8,0.19827028537571936,230.70086485731215,False
80,0.2514017242596548,0.26493880864062064,0.2741040414594094,0.18163555402825096,0.027919871612064127,234.8,1.0579938699476674,234.27100306502618,False
81,0.37333237298928235,0.2523273226343427,0.2806808534897244,0.015219319857073784,0.07844013102957689,239.2,1.9018892141116879,238.24905539294414,False
82,0.034039968332325594,0.023492459392617706,0.0032303896708679863,0.6054867920904521,0.33375039051373656,224.4,0.5,224.15,False
83,0.3966049786628467,0.056781682011372354,0.2692141956806153,0.08421210867375235,0.19318703497141337,237.6,1.0528092338400064,237.07359538308,False
84,0.3766474970827305,0.05109098914537719,0.010756323173336609,0.03925487730185403,0.5222503132967017,232.0,2.477837420592652,230.76108128970367,False
85,0.4162479368135718,0.23000055272529368,0.061172256361609195,0.023387306310712102,0.2691919477888134,233.4,2.347347107865724,232.22632644606713,False
86,0.5644077397990652,0.09799074838160787,0.26059614420981275,0.06854713713972445,0.00845823046978957,238.2,2.822888459865656,236.78855577006715,False
87,0.47595040042294845,0.0912852979564879,0.015234280823137998,0.05064828841284556,0.36688173238457994,228.6,2.3022301579905102,227.44888492100475,False
88,0.0444612433814695,0.11748552676818431,0.6183542686039882,0.04483310445501126,0.1748658567913467,224.4,0.08488956732596423,224.35755521633703,False
89,0.13216366423508155,0.21125688110748056,0.3690071262194848,0.010663328001805576,0.2769090004361476,230.4,0.45693665012933166,230.17153167493535,False
90,0.21386035465244832,0.13784625617974164,0.008756262899539126,0.4478277092709377,0.19170941699733338,232.8,0.3930322320179528,232.60348388399103,False
91,0.0036047063786851987,0.001937852001352867,0.10664050947583002,0.8773689727619424,0.010447959382189545,223.8,0.2,223.70000000000002,False
92,0.04753239615245547,0.08591732245069097,0.03402359152555631,0.3239390758905534,0.5085876139807438,223.4,0.24736040423718766,223.2763197978814,False
93,0.13482382006886548,0.3902638694463457,0.41395043822465183,0.02345324272728957,0.03750862953284734,233.8,0.6205249212232745,233.4897375393884,False
94,0.1790496219968166,0.45584498122862416,0.14517369895376805,0.19206227905168624,0.02786941876910495,235.2,0.45745660059179694,234.9712716997041,False
95,0.17429525938375878,0.11691801216746503,0.14500907906740196,0.21264081842986488,0.3511368309515093,229.2,0.3698388571230829,229.01508057143846,False
96,0.06992106022099646,0.4135207170088727,0.3298881274415811,0.00788178346056373,0.17878831186798588,235.0,0.34117663759849554,234.82941168120075,False
97,0.33268185106511244,0.24099980255334416,0.11034448687813948,0.23852597553502083,0.07744788396838298,235.4,2.8035369461761963,233.9982315269119,False
98,0.08580590088521617,0.14903364077540182,0.41661756252992543,0.25306075113555665,0.09548214467390007,230.0,0.1,229.95,False
99,0.5470114088140405,0.17976387998823298,0.01692087954462941,0.1505050992074288,0.10579873244566815,236.8,3.344497198472007,235.127751400764,False
100,0.4358786969358919,0.0567811966268983,0.10532300580996937,0.3276227733543768,0.07439432727286362,238.4,2.3770309136945906,237.21148454315272,False
101,0.10200851286736591,0.1341496207690271,0.16796812038817535,0.11255520141134336,0.4833185445640882,232.4,0.2,232.3,False
102,0.16815091528153225,0.5421866224422331,0.16848304530702635,0.054035656001660104,0.06714376096754816,232.6,1.302198092926174,231.9489009535369,False
103,0.3777747409872075,0.15048574156635353,0.38978347808091984,0.03942211685071044,0.042533922514808586,231.4,1.492662833019534,230.65366858349023,False
104,0.09949285609708629,0.05302259776927767,0.044035550864244176,0.7453368045024534,0.05811219076693836,231.2,0.26692154795611256,231.06653922602194,False
105,0.45498281016139175,0.0295253303747618,0.03312977513666137,0.2245307626927144,0.25783132163447076,234.4,2.510366566750972,233.14481671662452,False
106,0.0016101176059372267,0.0878544852447914,0.08369980826250362,0.4370876079250375,0.38974798096173036,228.6,0.2,228.5,False
107,0.3642975844621206,0.5318750342563655,0.02017923350074508,0.034573558794987816,0.049074588985781036,233.8,2.0426973130454957,232.77865134347726,False
108,0.4601477881815738,0.24524566607016146,0.199946962594575,0.06582448402822058,0.02883509912546927,238.6,2.9633740322119286,237.11831298389404,False
109,0.02478103683573021,0.2312208019707186,0.29809360896663206,0.21443792114336113,0.23146663108355792,228.2,0.5769973399781988,227.91150133001088,False
110,0.511994835763288,0.06769024827479832,0.3836147267837135,0.02422407481808285,0.012476114360117278,240.4,2.0804133646143264,239.35979331769283,False
111,0.3761176910433771,0.08392257183597511,0.09657917912658485,0.18466337717520814,0.2587171808188547,236.2,2.147894244617783,235.1260528776911,False
112,0.1403319208575257,0.07657542449267406,0.09003650403001158,0.4082357209266978,0.28482042969309085,227.2,0.5791174923528282,226.91044125382356,False
113,0.788804231168362,0.03388324455889279,0.033923880815415426,0.012861560341177905,0.130527083116152,235.8,7.531885118992692,232.03405744050366,False
114,0.035033041730132,0.023189727585216192,0.28249358024134796,0.31664699154898024,0.34263665889432354,225.2,0.2,225.1,False
115,0.510005127475697,0.028021840852309837,0.1672856898956537,0.08576005130827828,0.20892729046806105,239.0,0.6618849928891419,238.66905750355542,False
116,0.012918923126186123,0.0932834747081805,0.3683960261786607,0.07488557087012908,0.45051600511684353,225.4,0.3,225.25,False
117,0.10664103610939234,0.21474677152570323,0.1920317706984128,0.46432409811441483,0.022256323552076997,229.2,0.528059224428284,228.93597038778586,False
118,0.015775808528913214,0.44400565674773534,0.008827001600520135,0.15769515706326212,0.3736963760595691,230.0,0.9364944499294502,229.53175277503527,False
119,0.21412257769867946,0.08200472658954168,0.15332628940760362,0.011280836926299317,0.539265569377876,231.4,0.7085039491604694,231.04574802541978,False
120,0.06239995889139045,0.13183318504296812,0.14951352303361823,0.573218935513993,0.0830343975180301,231.6,0.45143529493218315,231.3742823525339,False
121,0.003322054024517019,0.01694744256693996,0.2519543327976816,0.336168189857447,0.39160798075341446,230.6,0.4848895673259642,230.357555216337,False
122,0.21909708500973257,0.33659156282612607,0.19118788399601958,0.011124815428308132,0.24199865273981355,231.0,0.48597393174356196,230.75701303412822,False
123,0.14107483523042938,0.20924929969283737,0.23743604694455828,0.20723496521851412,0.20500485291366077,229.8,0.37699733997819884,229.61150133001092,False
124,0.19846867799609905,0.4514436902334375,0.028676774019061498,0.2660428389414224,0.05536801880997961,234.2,0.6633250137266714,233.86833749313666,False
125,0.0755595941747999,0.035615344448160315,0.18699964501496436,0.3081925517011046,0.3936328646609708,228.8,1.0473544129974637,228.2763227935013,False
126,0.7444938429264241,0.16332340524800626,0.013055330670350692,0.026624926268052754,0.052502494887166316,228.6,7.777595289445394,224.7112023552773,False
127,0.44024207544927274,0.009640265211986913,0.3737188844893442,0.001627099142691506,0.17477167570670465,231.8,2.5753194614363943,230.51234026928182,False
128,0.012665763400835368,0.6877932627195098,0.12456542359843792,0.14177981394994324,0.03319573633127362,231.0,0.6094764949703665,230.69526175251482,False
129,0.285714534826569,0.06938474878171624,0.04284876706252031,0.35493354360523804,0.2471184057239564,231.8,0.7666506735896753,231.41667466320519,False
130,0.015668223484116745,0.31281699472473856,0.41117948606599536,0.22844666346623013,0.031888632258919115,232.0,0.35724318819106465,231.82137840590445,False
131,0.1273503506313363,0.22952764091341285,0.014673632222335479,0.45216809246307826,0.1762802837698371,232.6,0.7311227693309427,232.2344386153345,False
132,0.08810691088805966,0.3558255266294799,0.2933241666950272,0.1883531059464411,0.07439028984099207,233.2,0.836413370228826,232.78179331488556,False
133,0.384731626180754,0.11919409286215392,0.015044209269155673,0.36032477128258333,0.12070530040535303,236.8,2.5547988744751997,235.52260056276242,False
134,0.04544246388536469,0.14695493951182148,0.15590008062818222,0.42409162140145057,0.22761089457318118,225.4,0.34683619710128166,225.22658190144938,False
135,0.09942154793162503,0.2303301695099925,0.01932084892486845,0.49698348623557304,0.1539439473979409,232.8,0.24419310912956488,232.67790344543522,False
136,0.4709361729866436,0.03444912716787537,0.3443300213430376,0.1066641049426633,0.04362057355977995,236.4,2.0359088262051435,235.38204558689745,False
137,0.05465932931732655,0.1730795448676567,0.18450015669052316,0.02940992901243261,0.5583510401120609,229.0,0.739820109792454,228.63008994510378,False
138,0.0003338066491295202,0.18001927992998992,0.05525164173590767,0.1353327287418902,0.6290625429430825,230.8,0.2633459021524561,230.66832704892377,False
139,0.0883510983473591,0.33113522896587616,0.073940882506352,0.3662123428421603,0.14036044733825248,236.4,0.7467604488718035,236.02661977556411,False
140,0.024912918980690302,0.3894352875838667,0.2249838467748488,0.10796256773813163,0.2527053789224625,228.8,0.6130971785402607,228.49345141072988,False
