idx,w_step_out,w_var,w_cont,w_inspect,bottles,blocked,score,is_default
0,0.15,0.3,0.2,0.35,232.6,4.280163791519546,230.45991810424022,True
1,0.23697815519260423,0.44341310638748455,0.3150803974118721,0.004528341008039095,228.6,3.7291773750509045,226.73541131247455,False
2,0.24537122932908897,0.4364705605070974,0.31570810423045675,0.0024501059333568343,228.8,4.8750877643088275,226.3624561178456,False
3,0.325374896091407,0.5043385104752666,0.1274857789061743,0.0428008145271522,232.4,6.299328633029337,229.25033568348533,False
4,0.6964878713870493,0.021233279423342532,0.07753477288457737,0.20474407630503097,236.4,7.2422244565803116,232.77888777170986,False
5,0.1284230331332491,0.042764724604738326,0.19485120389901833,0.6339610383629942,226.4,5.819908609317912,223.49004569534105,False
6,0.1445763587763022,0.6125986041040945,0.19897753201069857,0.043847505108904776,200.2,0.43001803147692985,199.98499098426151,False
7,0.6041339432974312,0.12249049837751995,0.19361205905374806,0.07976349927130076,228.8,8.807689421946511,224.39615528902675,False
8,0.4811009068982673,0.020108877046577184,0.10865323850041787,0.3901369775547376,235.0,6.916320875745993,231.541839562127,False
9,0.5707788647329932,0.11541302070435706,0.2650244632122862,0.04878365135036347,233.0,6.466058321865001,229.7669708390675,False
10,0.06418552542575391,0.3042053242045969,0.2519491545128389,0.3796599958568103,220.6,4.410962867685383,218.3945185661573,False
11,0.4434588482456916,0.12836783195985804,0.340055661658734,0.0881176581357163,235.0,6.971172211785854,231.51441389410707,False
12,0.6093935695630797,0.2365655474879908,0.132460407531307,0.0215804754176224,233.8,8.843913410068803,229.3780432949656,False
13,0.3418039825689712,0.14140373214053964,0.2512548644768138,0.26553742081367554,229.6,6.661001206819738,226.26949939659013,False
14,0.1474322304081079,0.2793520021282799,0.41543687831777515,0.15777888914583701,226.6,5.432252701350167,223.8838736493249,False
15,0.2574839731918573,0.01792157518942685,0.08057635756263043,0.6440180940560853,229.4,6.467672646829206,226.1661636765854,False
16,0.21739647418462724,0.18201289856722314,0.36659193394093287,0.2339986933072168,228.6,5.144475093620944,226.02776245318952,False
17,0.6886131014405685,0.01236116121360149,0.17055666402537467,0.12846907332045518,233.4,11.163976921939156,227.81801153903044,False
18,0.1528303992660365,0.34977420770456513,0.3118956216925711,0.18549977133682702,221.0,5.879966144957749,218.06001692752113,False
19,0.18924305157024723,0.057274430566863536,0.16200520529782855,0.5914773125650606,229.0,6.53777048364356,225.73111475817822,False
20,0.09387581410746704,0.3926035109875863,0.18318088612757588,0.33033978877737097,226.6,4.332913662966122,224.43354316851693,False
21,0.08760999972051753,0.08285189063533321,0.6619456446439475,0.1675924650002018,228.0,4.84499933172192,225.57750033413905,False
22,0.11574835138525692,0.7493290104385522,0.06381319724379397,0.07110944093239692,195.2,0.07090453125000001,195.164547734375,False
23,0.0860111461989236,0.15682720137555684,0.6253488127641106,0.13181283966140905,225.0,5.333612470213059,222.33319376489348,False
24,0.5973473357269518,0.15262759980110235,0.17510327348901988,0.07492179098292602,235.6,8.086585236841396,231.5567073815793,False
25,0.21712235322024928,0.2013622811860836,0.12420421300741875,0.45731115258624844,225.2,5.0979594243118935,222.65102028784403,False
26,0.47017274093846995,0.17474919088268123,0.013731882249493484,0.3413461859293553,230.4,6.121227811305747,227.33938609434713,False
27,0.17857871535249034,0.38121947350651153,0.33311376045145097,0.10708805068954709,229.0,4.821877140624652,226.58906142968766,False
28,0.7056807226939289,0.23241198331759022,0.026626691152835686,0.03528060283564535,238.0,11.822025906718437,232.0889870466408,False
29,0.0007766869753024034,0.09872266191442441,0.3357882232564102,0.564712427853863,223.6,5.212360109517133,220.99381994524143,False
30,0.32139117542776874,0.11278784074951843,0.3608833627762439,0.2049376210464689,233.8,6.949535631252853,230.3252321843736,False
31,0.6242170694769117,0.03737648604494372,0.21432693448080226,0.12407950999734221,233.2,8.714701874087009,228.8426490629565,False
32,0.6819694800300412,0.08172611997788823,0.20593378071283783,0.030370619279232746,235.0,10.195922885461364,229.90203855726932,False
33,0.5367808026378751,0.001338506106628585,0.18058745571609203,0.28129323553940416,232.2,8.040790901290226,228.17960454935488,False
34,0.16181760784367163,0.10450001883336398,0.7105989719116274,0.023083401411336895,226.8,4.703034600633619,224.4484826996832,False
35,0.11779590278152953,0.07784384107141457,0.7745959710227283,0.02976428512432767,234.4,5.245040288482793,231.7774798557586,False
36,0.3788180881620125,0.1938067826789899,0.3407667211181137,0.08660840804088395,230.0,7.619842891688189,226.19007855415592,False
37,0.1398171337712203,0.050250693094037215,0.6062564004525502,0.2036757726821923,229.8,5.210786654409593,227.1946066727952,False
38,0.7370653465472483,9.32934206672882e-05,0.2535106013101814,0.009330758721903035,233.8,14.363947275408169,226.61802636229592,False
39,0.7748983997614041,0.10329264204337242,0.05626549085900914,0.06554346733621437,235.8,11.343529639562487,230.12823518021878,False
40,0.608956188884548,0.16746939730197166,0.20070029142699897,0.0228741223864813,232.6,5.847712750486013,229.67614362475697,False
41,0.3564521136099132,0.1586336156237994,0.13722276992343546,0.34769150084285205,224.8,6.237215870073503,221.68139206496326,False
42,0.061860120854005336,0.13663016191797855,0.7839416622262976,0.01756805500171849,226.6,3.111306513964595,225.04434674301768,False
43,0.13163756221577874,0.2091613284359378,0.37655543004162556,0.2826456793066578,231.6,5.23038153325343,228.98480923337328,False
44,0.11451618170196422,0.10364186355224786,0.2691557983948043,0.5126861563509835,222.0,6.807638555264981,218.5961807223675,False
45,0.01971422224484994,0.15045711718993307,0.07925874388921478,0.7505699166760023,229.0,4.616986833092235,226.69150658345387,False
46,0.83767379487986,0.062400925094343286,0.05538708324964664,0.044538196776149924,235.4,11.63161350473987,229.58419324763008,False
47,0.4499151988835404,0.22077816654594765,0.11034642220084806,0.21896021236966381,233.4,6.884260631232898,229.95786968438355,False
48,0.08715189561941136,0.4673008410390398,0.09559393340106288,0.34995332994048595,231.2,4.861659977247117,228.76917001137642,False
49,0.19773568012812948,0.15839066854324457,0.2407629502108112,0.40311070111781455,227.6,6.59660225108679,224.3016988744566,False
50,0.019371995152323022,0.29162626296515587,0.007494406680990432,0.6815073352015307,229.0,4.563451650957221,226.71827417452138,False
51,0.09560002080095173,0.6210630623291631,0.2456391139374355,0.0376978029324498,189.0,0.3711152853708041,188.8144423573146,False
52,0.15535543554692474,0.389816295493193,0.43703773168765875,0.017790537272223586,228.0,3.2957786119652623,226.35211069401737,False
53,0.301375713444926,0.331520223739502,0.14257314912123967,0.22453091369433223,228.6,5.413210664147573,225.8933946679262,False
54,0.25716971347830037,0.3763827986110106,0.07011980839134818,0.2963276795193407,230.4,5.7320628162246665,227.53396859188769,False
55,0.13474020103987103,0.6860998976689334,0.1448914868815435,0.03426841440965206,191.4,0.42432312673611117,191.18783843663195,False
56,0.35605656479828235,0.1834219830686429,0.25421488660419167,0.20630656552888305,233.2,5.543614757856011,230.428192621072,False
57,0.15271685562747725,0.33269378410695044,0.1392238713295744,0.375365488935998,228.8,5.7255478044851875,225.93722609775742,False
58,0.07276358945830787,0.3518870657037628,0.21331719003162705,0.3620321548063023,227.4,4.757114605514142,225.02144269724295,False
59,0.0319673179661632,0.05605850800131324,0.46480059458343675,0.44717357944908676,227.0,5.2999406593954195,224.3500296703023,False
60,0.34687488602530786,0.32970952976405077,0.03208841301337282,0.2913271711972684,232.6,4.548908378216889,230.32554581089155,False
61,0.023018791950631487,0.12537562081240014,0.601628340920674,0.2499772463162945,226.2,4.557747304514583,223.9211263477427,False
62,0.2896843355836902,0.13059747824773826,0.2800188358213238,0.2996993503472479,228.2,6.406104453754058,224.99694777312297,False
63,0.7418566551796394,0.014165210814708071,0.10208254346963752,0.14189559053601503,237.8,10.112765201031523,232.74361739948424,False
64,0.05221524855971068,0.25204542299899974,0.48835274864540845,0.20738657979588118,226.2,3.403304041733341,224.4983479791333,False
65,0.2660593990268183,0.4911400761879467,0.08292316136300615,0.15987736342222902,222.6,5.55773796791784,219.82113101604108,False
66,0.19256423800178255,0.12748382433027422,0.21675274794454447,0.4631991897233988,228.8,5.6110825471187455,225.99445872644063,False
67,0.3175371831888912,0.04828648399569483,0.5291102111176214,0.10506612169779272,234.6,5.104106384629779,232.0479468076851,False
68,0.5593573761376359,0.22795794059686977,0.1917286947415914,0.020955988523902853,230.2,7.891451077193719,226.25427446140313,False
69,0.36835987485122546,0.3432213277552796,0.10360420383543732,0.1848145935580576,228.6,6.564829486958567,225.31758525652072,False
70,0.25983706178060256,0.14305940526182917,0.02831299866240103,0.5687905342951672,230.4,6.182036512933854,227.30898174353308,False
71,0.2038171439836335,0.08195245592823161,0.32503782838798057,0.3891925717001544,225.4,6.765544394558337,222.01722780272084,False
72,0.2769119348737699,0.0330259816572954,0.09360651863111212,0.5964555648378225,227.4,5.9608691492698265,224.41956542536508,False
73,0.10981295671232282,0.16453896531508908,0.530841806400146,0.19480627157244218,229.6,4.706275923479123,227.24686203826045,False
74,0.44764697505071926,0.007508785568603877,0.02486916386155745,0.5199750755191194,225.0,7.205962555963405,221.3970187220183,False
75,0.18928237253867927,0.06278045833893121,0.02765162244707921,0.7202855466753104,227.0,6.084335729195825,223.9578321354021,False
76,0.08097344457287842,0.25958159615407916,0.30587195093869485,0.35357300833434757,224.4,4.719528812162553,222.04023559391874,False
77,0.21271699912498385,0.04305827923731786,0.5093219398738758,0.2349027817638224,231.2,5.226872940210742,228.58656352989462,False
78,0.12832094100503438,0.28909886791428996,0.18752811750106732,0.39505207357960836,224.6,5.664104707162031,221.76794764641897,False
79,0.323982272440003,0.20425855949551527,0.26778552174159453,0.20397364632288742,233.0,6.182934687276276,229.90853265636187,False
80,0.02270172375436436,0.5967267311735612,0.23780258422453326,0.1427689608475411,186.0,0.42999604980296524,185.7850019750985,False
81,0.013721778039018107,0.16415687289278363,0.014837952127110992,0.8072833969410872,224.6,5.552077254529385,221.8239613727353,False
82,0.0927903145847103,0.10743687725898723,0.5837210340925918,0.21605177406371068,221.6,4.856130384345592,219.1719348078272,False
83,0.37995396462598785,0.0647040005745578,0.3522645032494814,0.20307753154997296,226.4,7.007470213864839,222.89626489306758,False
84,0.3819751042892009,0.042231006205088954,0.23127113538270924,0.34452275412300093,231.8,5.771984476920754,228.91400776153964,False
85,0.20521549411202508,0.1269773407815602,0.259987850815735,0.40781931429067975,227.6,5.721684148573165,224.7391579257134,False
86,0.18674231844962538,0.4563320076768014,0.09538961576429465,0.2615360581092786,229.8,4.091489161913172,227.75425541904343,False
87,0.4596221440625749,0.07226542066217566,0.32107027788121945,0.14704215739403004,236.6,6.310131856910936,233.44493407154454,False
88,0.12879055642242543,0.1692750985679829,0.3894731399287375,0.3124612050808542,231.8,4.493022640155155,229.55348867992242,False
89,0.22516062865346087,0.1905381429026088,0.41729552001035103,0.1670057084335792,226.0,6.419845613325437,222.79007719333728,False
90,0.10054480360040484,0.09354702197519789,0.4149527127535769,0.3909554616708204,230.2,5.326719673527213,227.53664016323637,False
91,0.16056347130657556,0.09743379218392614,0.49446109518081865,0.24754164132867956,230.8,5.944584726747285,227.82770763662637,False
92,0.06118009502350568,0.16784422037051344,0.3392463849771578,0.43172929962882306,226.6,5.366268210987553,223.91686589450623,False
93,0.07414070113003912,0.09022248619639942,0.6606773145299142,0.17495949814364722,223.2,5.06947682421341,220.66526158789327,False
94,0.28488228211900857,0.06279412604970291,0.27606722798140715,0.3762563638498814,232.8,6.354406393168532,229.62279680341575,False
95,0.5556563855607958,0.21257494697044688,0.14456763233108164,0.08720103513767567,234.4,7.349658075866915,230.72517096206656,False
96,0.09479705605342273,0.030369456057371447,0.03338192169943821,0.8414515661897676,226.0,4.783020278536149,223.60848986073194,False
97,0.5523157176001701,0.15852610691227936,0.22023123997703015,0.06892693551052043,233.2,5.97000385021339,230.2149980748933,False
98,0.20577179798654918,0.16975877299003866,0.5440017581890728,0.08046767083433938,225.2,5.348324606976618,222.52583769651167,False
99,0.2855537489131374,0.1449458501877469,0.5144722653096038,0.055028135589511876,229.4,6.2786415220676215,226.2606792389662,False
100,0.43645384958116346,0.09161424556414072,0.19205076671497626,0.2798811381397195,231.0,6.013780835452243,227.9931095822739,False
101,0.3358339771992022,0.12778747036897115,0.3890283713833436,0.147350181048483,228.6,5.711919936825895,225.74404003158705,False
102,0.1961400989672856,0.11205640668409346,0.40746260992296,0.284340884425661,228.8,5.403273830481959,226.09836308475903,False
103,0.05485075717981714,0.057925970244511314,0.32811737489546017,0.5591058976802114,229.0,5.744730341150251,226.12763482942486,False
104,0.023840909099236158,0.06768379976156395,0.5619639638629261,0.3465113272762737,228.2,4.515691285230315,225.94215435738482,False
105,0.023544327879894314,0.4935550821811683,0.10640450734160854,0.37649608259732875,227.0,3.4539180455838148,225.2730409772081,False
106,0.1663192852559944,0.3221682002810587,0.14015700869274939,0.37135550577019744,227.4,5.144109444700303,224.82794527764986,False
107,0.373162352302744,0.020658364533138268,0.47467826760535214,0.13150101555876556,228.4,5.560154793304026,225.619922603348,False
108,0.08120292639083965,0.10616526137800925,0.7149891739113994,0.09764263831975165,223.4,4.494003216564538,221.15299839171774,False
109,0.03790946036472324,0.05743515217853779,0.609493414218656,0.2951619732380831,227.4,6.415857675565171,224.19207116221742,False
110,0.5141707246554298,0.30221740592378504,0.17954333653702925,0.00406853288375588,235.4,7.934745664148349,231.43262716792583,False
111,0.07558474052531639,0.43398821982970714,0.4760399258059922,0.014387113838984224,215.8,0.7451205159340576,215.427439742033,False
112,0.4499361432230144,0.2280336859358585,0.22517182016580808,0.0968583506753191,231.4,7.922972329060942,227.43851383546954,False
113,0.7196538973631966,0.06473026600509466,0.16214369806924217,0.05347213856246658,233.4,12.724142325641878,227.03792883717907,False
114,0.07464447177581071,0.30203409435775586,0.3701749578475338,0.2531464760188996,226.2,4.4569066438422915,223.97154667807885,False
115,0.01967210039500532,0.09948058351887165,0.7188658886627035,0.16198142742341953,226.4,5.3390303750269545,223.73048481248654,False
116,0.3961313835767742,0.06547191519109047,0.3094722277608673,0.22892447347126801,233.8,6.375918232246804,230.6120408838766,False
117,0.6186387396872396,0.04753747766377639,0.1332585811248105,0.2005652015241735,232.0,8.469439017190414,227.76528049140478,False
118,0.1063620234839285,0.42318203080312716,0.09274372696901702,0.3777122187439273,228.0,4.346431101611869,225.82678444919407,False
119,0.20331138526892972,0.5027894850601475,0.19311899397119459,0.10078013569972795,228.8,5.5713683693622915,226.01431581531887,False
120,0.14963286124236064,0.01733854448114399,0.8241129078985209,0.008915686377974425,230.8,4.995020896821289,228.30248955158936,False
